        Student Name     Student Average               Grade
SPWKLZWHCIE GAPCEXAS                  87                   C
     FCCEPWNFVV XJME                85.9                   C
       FKAXVFR MAEPR                93.3                   B
       UJSYE DTULCIC                80.1                   D
        UIPXMS SLOVX                81.6                   C
    WAQGUMH BSPRXASR                87.4                   C
   VVXFFGIK OWVQEMVS                83.2                   C
       HVPBUM LLWMAR                92.3                   B
        XMKSPFF NNSR                79.8                   D
       YEELIT UEGAIN                94.5                   B
        OTFI VZQHLLA                89.4                   C
     OBWRBCI CWWUZGT                83.3                   C
         OKD MGULGFP                94.8                   B
        DAVWDFT BSJE                86.3                   C
         DJEOVV TDIZ                83.3                   C
            Rzg Rjrx                86.7                   C
         GYYAVR DZSC                85.9                   C
        SEESU JIKYMQ                87.7                   C
    FYFKENVQ LGJKRRX                92.4                   B
      GZGILBKIT ICTF                90.9                   C
          TRQHK QCIC                81.8                   C
    KMPTPTAV OZGASIN                82.1                   C
        WMWACIX CGLP                  87                   C
        ZBKOGI NTEIU                90.2                   C
         DXTPGP NHZR                88.4                   C
SPWKLZWHCIE GAPCEXAS                  87                   C
     FCCEPWNFVV XJME                85.9                   C
       FKAXVFR MAEPR                93.3                   B
       UJSYE DTULCIC                80.1                   D
        UIPXMS SLOVX                81.6                   C
    WAQGUMH BSPRXASR                87.4                   C
   VVXFFGIK OWVQEMVS                83.2                   C
       HVPBUM LLWMAR                92.3                   B
        XMKSPFF NNSR                79.8                   D
       YEELIT UEGAIN                94.5                   B
        OTFI VZQHLLA                89.4                   C
     OBWRBCI CWWUZGT                83.3                   C
         OKD MGULGFP                94.8                   B
        DAVWDFT BSJE                86.3                   C
         DJEOVV TDIZ                83.3                   C
            Rzg Rjrx                86.7                   C
         GYYAVR DZSC                85.9                   C
        SEESU JIKYMQ                87.7                   C
    FYFKENVQ LGJKRRX                92.4                   B
      GZGILBKIT ICTF                90.9                   C
          TRQHK QCIC                81.8                   C
    KMPTPTAV OZGASIN                82.1                   C
        WMWACIX CGLP                  87                   C
        ZBKOGI NTEIU                90.2                   C
         DXTPGP NHZR                88.4                   C
